Datum,Erster,Hoch,Tief,Schlusskurs
2017-01-02,1152.4,1152.4,1152.4,1152.4
2017-01-03,1150.55,1163.03,1146.44,1158.94
2017-01-04,1158.68,1167.6,1156.4,1163.37
2017-01-05,1163.97,1184.79,1163.24,1180.32
2017-01-06,1180.55,1181.41,1171.11,1172.55
2017-01-09,1175.51,1185.69,1173.07,1181.03
2017-01-10,1181.62,1190.44,1180.34,1187.77
2017-01-11,1187.88,1197.92,1177.73,1191.65
2017-01-12,1191.22,1206.8,1191.22,1195.62
2017-01-13,1195.12,1200.67,1188.39,1197.46
2017-01-16,1201.37,1207.62,1200.96,1202.97
2017-01-17,1203.18,1218.34,1202.91,1216.93
2017-01-18,1217.36,1217.36,1202.63,1204.19
2017-01-19,1203.6,1206.52,1196.23,1204.79
2017-01-20,1204.65,1214.35,1199.07,1208.99
2017-01-23,1217.96,1219.46,1210.11,1218.14
2017-01-24,1219.21,1219.42,1206.92,1209.07
2017-01-25,1209.31,1209.7,1195.65,1200.61
2017-01-26,1201.32,1202.48,1184.64,1188.66
2017-01-27,1189.27,1191.68,1181.21,1191.58
2017-01-30,1195.32,1199.16,1188.49,1195.53
2017-01-31,1195.69,1215.26,1194.31,1210.59
2017-02-01,1210.82,1213.21,1198.37,1209.85
2017-02-02,1209.43,1225.12,1208.5,1215.97
2017-02-03,1215.87,1221.18,1210.92,1220.28
2017-02-06,1224.27,1235.64,1221.88,1235.52
2017-02-07,1234.96,1235.69,1228.07,1233.95
2017-02-08,1233.75,1244.79,1230.46,1241.52
2017-02-09,1241.4,1243.97,1228.46,1229.11
2017-02-10,1228.36,1236.9,1221.87,1233.38
2017-02-13,1231,1232.26,1219.77,1225.53
2017-02-14,1225.49,1234.35,1222.13,1228.5
2017-02-15,1227.62,1233.42,1217.45,1233.42
2017-02-16,1233.61,1242.16,1232.2,1239.3
2017-02-17,1239.14,1243.62,1234.6,1234.95
2017-02-20,1234.51,1238.84,1232.96,1237.67
2017-02-21,1237.68,1238.83,1226.35,1235.95
2017-02-22,1236.19,1240.3,1231.94,1237.41
2017-02-23,1237.57,1250.87,1235.93,1249.37
2017-02-24,1249.38,1260.05,1248.01,1256.98
2017-02-27,1257.87,1263.74,1251.23,1252.84
2017-02-28,1252.47,1258.2,1247.99,1248.23
2017-03-01,1248.13,1250.47,1237.27,1249.62
2017-03-02,1250.06,1250.06,1231.3,1234.35
2017-03-03,1234.58,1236.07,1223.4,1234.62
